StudentUserID,ProID,Score,DateMail,Clicked,ClickDate,Conversation,Appointment,PhotoPro,EntreprisePro,SecteurPro,PositionPro,ProSchool,ExperiencePro
58bf034084b25272d5e604ac,575d88056ba9ba4e88c2d7fb,1.0,2017-03-29 15:20:53 +0200,false,,,,true,Bouygues Construction,energy_environment_construction,Chef de groupe travaux,Ecole Centrale Paris,12
58bf034084b25272d5e604ac,588f0e4584b25243599f560d,1.0,2017-03-29 15:20:53 +0200,true,2017-03-29 17:22:56 +0200,,,true,AXA,finance,Responsable de Département IT / Relation Partenaire Métier Collectives à la DSI AXA France,SUPINFO,17
58bf034084b25272d5e604ac,577e79ee89818015df4619ce,1.0,2017-03-29 15:20:53 +0200,false,,,,true,Cap Assurances,finance,Mandataire de courtier en assurances,Autre,2
58bf034084b25272d5e604ac,5763a3bb6ba9ba650cc756b9,1.0,2017-03-29 15:20:53 +0200,false,,,,true,TOTAL,energy_environment_construction,International digital projects & assets development leader - Bitumen business line,ENSPM Pétrole et moteurs,7
5852dd82921259734333ca4f,575d92ad6ba9ba634b63c0c3,0.0,2017-03-29 19:31:39 +0200,false,,,,false,AXA,finance,Master Black Belt,TELECOM ParisTech,31
575dbfd36ba9ba3c15df03ba,575d93616ba9ba634b63c17f,,2017-03-30 17:31:25 +0200,false,,,,true,Cubyn,production_distribution,CTO,Ecole Centrale Paris,9
575dbfd36ba9ba3c15df03ba,575d90376ba9ba634b63c065,,2017-03-30 17:31:25 +0200,false,,,,false,INSERM,public_organisation,Doctorante en génétique épidémiologique,Ecole Centrale Paris,15
575dbfd36ba9ba3c15df03ba,575d932d6ba9ba634b63c107,,2017-03-30 17:31:25 +0200,false,,,,true,Air France,transportation_embarked,Directeur du programme Digital interne,Ecole Polytechnique,23
575dbfd36ba9ba3c15df03ba,575d93376ba9ba634b63c11f,,2017-03-30 17:31:25 +0200,false,,,,true,Société Générale,finance,Cadre Dirigeant,Ecole Centrale Paris,41
575dbfd46ba9ba3c15df03bd,575d88206ba9ba4e88c2d841,,2017-03-30 17:31:25 +0200,false,,,,true,Air France,transportation_embarked,Chargée d'études - Veille & Analyse Sociale,IEP Sciences Po Paris,1
575dbfd46ba9ba3c15df03bd,581c690666703f029cce0ca7,,2017-03-30 17:31:25 +0200,false,,,,true,JCDecaux,production_distribution,Directeur de la Création et des Contenus,Université d'Orléans,20
575dbfd46ba9ba3c15df03bd,575d93726ba9ba634b63c1ba,,2017-03-30 17:31:25 +0200,false,,,,true,Société Générale,audit_counselling,IS Strategy Project Manager,Ecole Centrale Paris,11
575dbfd46ba9ba3c15df03bd,575d88076ba9ba4e88c2d800,,2017-03-30 17:31:25 +0200,false,,,,false,Centigo,audit_counselling,Management Consultant,Ecole Centrale Paris,3
575dbfd46ba9ba3c15df03c0,586f741f9212590a2cd82356,,2017-03-30 17:31:25 +0200,false,,,,true,Devoteam,audit_counselling,Consultant/Auditeur en cybersécurité,Groupe EFREI,2
575dbfd46ba9ba3c15df03c0,575d935e6ba9ba634b63c175,,2017-03-30 17:31:25 +0200,false,,,,false,CNRS,public_organisation,Physicienne,Ecole Centrale Paris,18
575dbfd46ba9ba3c15df03c0,575d937e6ba9ba634b63c1e2,,2017-03-30 17:31:25 +0200,false,,,,true,Air France,transportation_embarked,Pilote de Ligne,HEC Paris,16
575dbfd46ba9ba3c15df03c0,575d880e6ba9ba4e88c2d820,,2017-03-30 17:31:25 +0200,false,,,,true,Auchan:Direct,it,Tech Lead,Ecole Centrale Paris,8
575dbfd56ba9ba3c15df03c3,575d90376ba9ba634b63c065,,2017-03-30 17:31:25 +0200,false,,,,false,INSERM,public_organisation,Doctorante en génétique épidémiologique,Ecole Centrale Paris,15
575dbfd56ba9ba3c15df03c3,575d93286ba9ba634b63c0f7,,2017-03-30 17:31:26 +0200,false,,,,true,My Job Glasses,it,Cofondateur,Ecole Centrale Paris,8
575dbfd56ba9ba3c15df03c3,575d880e6ba9ba4e88c2d820,,2017-03-30 17:31:26 +0200,false,,,,true,Auchan:Direct,it,Tech Lead,Ecole Centrale Paris,8
575dbfd56ba9ba3c15df03c3,575d93616ba9ba634b63c17f,,2017-03-30 17:31:26 +0200,false,,,,true,Cubyn,production_distribution,CTO,Ecole Centrale Paris,9
575dbfd66ba9ba3c15df03c6,575d88336ba9ba4e88c2d872,,2017-03-30 17:31:26 +0200,false,,,,true,AXA,finance,Digital Transformation Manager,IEP Sciences Po Paris,9
575dbfd66ba9ba3c15df03c6,575d88116ba9ba4e88c2d824,,2017-03-30 17:31:26 +0200,false,,,,true,ZenWeShare,finance,Fondateur&Data Scientist,Ecole des Mines ParisTech,9
575dbfd66ba9ba3c15df03c6,575d935e6ba9ba634b63c175,,2017-03-30 17:31:26 +0200,false,,,,false,CNRS,public_organisation,Physicienne,Ecole Centrale Paris,18
575dbfd66ba9ba3c15df03c6,575d93446ba9ba634b63c137,,2017-03-30 17:31:26 +0200,false,,,,true,Nanomakers,energy_environment_construction,PDG,Ecole Centrale Paris,13
575dbfd66ba9ba3c15df03c9,575d93446ba9ba634b63c137,,2017-03-30 17:31:26 +0200,false,,,,true,Nanomakers,energy_environment_construction,PDG,Ecole Centrale Paris,13
575dbfd66ba9ba3c15df03c9,575d88336ba9ba4e88c2d872,,2017-03-30 17:31:26 +0200,false,,,,true,AXA,finance,Digital Transformation Manager,IEP Sciences Po Paris,9
575dbfd66ba9ba3c15df03c9,575d93376ba9ba634b63c11f,,2017-03-30 17:31:26 +0200,false,,,,true,Société Générale,finance,Cadre Dirigeant,Ecole Centrale Paris,41
575dbfd66ba9ba3c15df03c9,575d93506ba9ba634b63c154,,2017-03-30 17:31:26 +0200,false,,,,true,RTE,energy_environment_construction,Dispatcher,Ecole Centrale Paris,3
